M4id,Date,Value,Forecast,"Absolute
Forecast Error","Absolute
Percentage 
Error"
H99,7/1/2015,186010,,,
H99,8/1/2015,410486,,,
H99,9/1/2015,380111,,,
H99,10/1/2015,357352,325535.6667,31816.33333,9%
H99,11/1/2015,349042,382649.6667,33607.66667,10%
H99,12/1/2015,376357,362168.3333,14188.66667,4%
H99,13/1/2015,443820,360917,82903,19%
H99,14/1/2015,484063,389739.6667,94323.33333,19%
H99,15/1/2015,445694,434746.6667,10947.33333,2%
H99,16/1/2015,415983,457859,41876,10%
H99,17/1/2015,413872,448580,34708,8%
H99,18/1/2015,405974,425183,19209,5%
H99,19/1/2015,420808,411943,8865,2%
H99,20/1/2015,460993,413551.3333,47441.66667,10%
H99,21/1/2015,453501,429258.3333,24242.66667,5%
H99,22/1/2015,420564,445100.6667,24536.66667,6%
H99,23/1/2015,401521,445019.3333,43498.33333,11%
H99,24/1/2015,418156,425195.3333,7039.333333,2%
H99,25/1/2015,431338,413413.6667,17924.33333,4%
H99,26/1/2015,483179,417005,66174,14%
H99,27/1/2015,541821,444224.3333,97596.66667,18%
H99,28/1/2015,498516,485446,13070,3%
H99,29/1/2015,442708,507838.6667,65130.66667,15%
H99,30/1/2015,432608,494348.3333,61740.33333,14%
H99,31/1/2015,428349,457944,29595,7%
H99,1/2/2015,410919,434555,23636,6%
H99,2/2/2015,424047,423958.6667,88.33333333,0%
H99,3/2/2015,474402,421105,53297,11%
H99,4/2/2015,523701,436456,87245,17%
H99,5/2/2015,412295,474050,61755,15%
